species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,aspect,slope,bulkdensity,claypercent,nitrogen,carbon,ph,sand,silt,coarsefragment,needleleaf,evergreenbroadleaf,deciduousbroadleaf,mixedtrees,shrubs,herbaceous
Symphyotrichum_hintonii,112.667,79.6667,47,608.667,171.667,59.6667,112,112,114.667,121.333,105.333,1036.33,227.333,6,68.6667,640.333,24.3333,135,33.6667,1550.67,124,4.66667,784,27.6667,251,29.6667,38,22,17.3333,15.6667,11.3333,1,0,35.6667,0,11
Symphyotrichum_jessicae,78.4,124.12,35.8,6880.32,272.2,-55.44,327.64,-2.64,164.72,168.28,-7.84,595.4,71.6,22.2,31.04,208.92,81.96,94.72,194.56,745.48,165.8,2.2,1269.44,19.52,133.48,33.2,61.84,24,52.44,6.24,18.68,0,1.8,10.28,0.84,14.84
Symphyotrichum_kentuckiense,136.667,123.333,34.7778,7579.44,300.056,-30.2778,330.333,97.6111,191.778,231.667,35.5556,1262.5,137.278,75.6667,14.7222,369.889,255.556,287.611,342.667,196.889,161.278,0.333333,1418.39,21.2222,86.75,20.3889,52.6667,24.2778,49,3.61111,10.3333,0,12,15.2778,0,5.16667
Symphyotrichum_laeve,70.6652,123.625,30.5829,9664.87,272.947,-128.723,401.67,155.632,-29.0543,191.072,-57.6251,732.113,95.1202,33.4133,37.9347,259.462,114.044,240.827,127.093,674.856,175.12,1.28257,1362.31,20.4102,205.746,49.8944,63.1122,41.2117,38.4002,7.26866,14.9589,0.230137,8.85096,12.4707,1.80877,12.7584
Symphyotrichum_lanceolatum,81.4503,120.501,29.9453,9715.13,281.528,-117.806,399.335,166.941,-20.6507,202.26,-48.4921,845.257,100.064,43.2437,29.4756,277.402,144.946,258.379,158.773,428.476,173.091,0.863439,1361.95,19.9129,203.903,54.924,61.2017,41.0206,39.1214,6.47051,7.43426,0.253563,13.9131,13.9578,2.43721,11.2347
Symphyotrichum_lateriflorum,93.2094,114.385,30.3489,9151.02,280.233,-94.1481,374.381,161.939,4.82973,206.817,-29.4767,1041.78,111.536,61.1267,18.6201,314.051,203.477,293.276,222.858,220.625,177.036,0.910464,1376,17.7834,210.531,55.8419,55.9694,41.5765,40.7194,6.85759,6.61899,0.484265,25.9745,18.7207,0.243953,3.96307
Symphyotrichum_laurentianum,43.125,77.8125,21.4375,8659.12,210.875,-122.25,333.125,-4.6875,8.1875,153.125,-69.1875,1018.56,108.625,70.3125,12.3125,302.625,228.062,239.812,270.375,4.5625,73.5714,0,1053.44,15.5,163,128.889,48.6111,52.0556,26.7222,14.3333,11.1111,0,2.5,15.6111,2.66667,5.83333
Symphyotrichum_lentum,146.657,128.143,47.7143,4721.49,291.029,31.2857,259.743,84.9143,202.029,204.114,84.6571,526.657,118.429,1.02857,87.1429,292.543,6.2,9.54286,292.314,40,135.303,0.685714,1474.09,27.8286,182.625,48.7714,65.5714,35.4286,33.9714,6.42857,8.82857,0.0857143,1.88571,22.4857,7.17143,9.28571
Symphyotrichum_longifolium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphyotrichum_longulum,37.2857,101.571,22.1429,9646.43,223,-163.857,386.857,154.286,-95.5714,154.286,-95.5714,633.571,89.2857,16.2857,40.8571,254.286,63.2857,254.286,63.2857,284.571,139,0.857143,1073.43,12.8571,126.2,49,47.2857,44.4286,28.4286,6.14286,6.57143,0,15.8571,32,0,3
Symphyotrichum_lucayanum,121.5,36,22.5,1475,158.5,79.5,79,134,107,139,101.5,747,119,23.5,25.5,311.5,87.5,279.5,97,5,95.5,0,658,7,626,63,33,22,21,2,12,0,0,21.5,0,6
Symphyotrichum_molle,21.6667,98,24.3333,5627,166.667,-97.6667,264.333,45,-47.3333,96.6667,-47.3333,309.333,42.6667,16,25,120.333,51,85,51,1352.67,63.3333,2.66667,896.333,16.3333,106.667,28.6667,44.3333,24,26.3333,9.33333,21,0,0.333333,1.66667,3.33333,32.6667
Symphyotrichum_moranense,154.616,149.192,67.3151,1837.43,261.555,42.1849,219.37,165.616,139.192,175.795,128.904,952.849,195.76,9.34932,89,534.979,36.1644,274.37,47.863,2266.59,183.932,4.80137,1212.47,42.8425,215.069,17.5342,61.7397,30.589,25.9589,18.137,12.0548,2.08219,2.43836,39.6438,8.87671,9.29452
Symphyotrichum_nahanniense,-41.6667,91.6667,18.1667,11292.8,163.333,-251.667,415,97,-104.667,97,-189.333,408.333,62.6667,20.3333,32.3333,163.833,63.3333,163.833,70.6667,733,101.167,4.16667,802,13.3333,217.667,71.8333,47.8333,35.5,34.5,10.5,27.8333,0,1,42,12.6667,0
Symphyotrichum_novae-angliae,83.8559,109.451,28.0925,9644.7,277.064,-107.231,384.295,167.267,-25.2461,203.55,-45.3933,935.176,100.676,52.5233,20.2951,284.965,175.383,271.824,186.157,224.306,174.163,0.617573,1389.43,19.5467,251.624,56.1455,60.3661,40.0557,40.4727,5.03842,4.35953,0.228549,15.9725,10.0364,0.299608,6.47027
Symphyotrichum_novi-belgii,69.1323,101.826,27.5818,9043.96,251.158,-112.205,363.363,93.3535,38.496,182.703,-50.4505,1140.04,119.117,74.4576,14.3556,336.113,240.168,291.657,277.571,106.504,181.201,0.997519,1213.79,12.72,246.443,87.3762,51.2146,53.0576,34.2029,9.46394,9.9621,0.609329,16.5637,27.9903,1.11953,3.51603
Symphyotrichum_oblongifolium,113.816,130.949,32.1711,9518.08,314.06,-89.3283,403.388,198.29,-4.86439,232.75,-13.7212,830.148,110.785,32.3435,39.782,298.165,112.712,269.212,115.871,442.285,175.028,0.936629,1491.07,24.5616,144.161,32.4676,64.0597,29.2973,46.1398,5.5972,3.98733,0.115336,12.564,9.1749,1.21293,28.9303
Symphyotrichum_ontarionis,89.9213,115.038,27.9563,10166.2,289.522,-117.087,406.609,185.965,-27.484,214.834,-48.0321,908.936,109.312,40.4431,31.0321,305.618,138.886,288.475,151.612,213.551,174.745,0.411079,1409.27,20.8275,214.202,56.4561,60.9737,36.5789,42.348,3.71637,5.18659,0.218659,13.5073,10.5714,0.443149,7.10787
Symphyotrichum_oolentangiense,96.0526,116.247,28.5502,9955.02,294.111,-107.893,402.005,191.733,-27.8578,218.682,-38.8114,903.606,110.396,36.9134,32.3818,306.459,130.509,288.658,135.722,250.816,183.43,0.412674,1450,20.376,212.141,48.9782,60.9111,37.5772,41.9704,3.5195,4.97218,0.18238,10.6028,12.4096,0.292117,12.034
Symphyotrichum_parviceps,124.892,122.923,30.4769,9333.4,316.431,-75.2,391.631,198.615,3.8,240.431,-1.92308,992.046,126.277,36.8,33.6462,337.523,130.154,309.8,130.831,267.431,171.108,0.430769,1499.38,25.7846,162.3,30.3846,60.0923,18.4462,54.2462,4.01538,0.430769,0.0307692,12.2615,5.89231,0.323077,25.5538
Symphyotrichum_patens,139.226,124.573,34.9394,8128.1,313.585,-39.1498,352.735,166.472,96.947,240.79,30.5993,1187.25,129.404,69.1002,18.0084,353.104,235.568,301.546,269.012,186.66,172.875,0.89966,1479.04,19.0874,121.597,35.3924,54.5345,37.6916,43.1983,6.62605,11.063,0.648739,29.2504,21.3571,0.316807,6.57479
Symphyotrichum_phlogifolium,104.675,120.024,33.0081,8451.6,284.195,-70.8699,355.065,187.008,2.93496,210.423,-8.23577,1090.61,111.659,71.1301,13.2195,316.805,230.911,307.52,233.317,323.496,176.943,1.71545,1403.33,20.374,146.069,38.2276,53.7317,33.5447,45.4309,11.561,4.84553,0.0650407,47.8537,9.8374,0.0894309,2.10569
Symphyotrichum_pilosum,107.985,116.647,31.1479,8991.43,293.437,-76.86,370.296,181.774,12.9561,220.051,-12.3483,1047.24,113.897,58.9684,19.8579,318.59,197.795,298.553,210.639,225.844,179.117,0.759074,1445.36,20.3725,179.787,45.1008,57.6839,35.0943,44.5999,6.11799,5.20515,0.330703,21.576,11.987,0.30669,7.54957
Symphyotrichum_plumosum,186.316,119.316,41.8947,5603.74,310.158,43.6316,266.526,252.895,152.684,254.263,111.526,1447.32,190.158,77.1053,27.3684,513.158,261.263,504.474,324.105,20.1053,202.105,0.0526316,1417.47,8.10526,359.294,47.7368,46.5789,69,17.6316,1.21053,34.1053,12.6316,0.684211,21.7895,0,0
